Sample	Family.ID	SubPopulation	Population.Description	Gender	Population
HG02308	BB23	ACB	African Caribbean in Barbados	female	AFR
HG02255	BB21	ACB	African Caribbean in Barbados	male	AFR
HG02111	BB19	ACB	African Caribbean in Barbados	female	AFR
HG02480	BB53	ACB	African Caribbean in Barbados	female	AFR
HG01894	BB06	ACB	African Caribbean in Barbados	female	AFR
HG02478	BB53	ACB	African Caribbean in Barbados	male	AFR
HG02427	BB37	ACB	African Caribbean in Barbados	female	AFR
HG02479	BB53	ACB	African Caribbean in Barbados	female	AFR
HG02451	BB46	ACB	African Caribbean in Barbados	female	AFR
HG02014	BB04	ACB	African Caribbean in Barbados	male	AFR
HG02145	BB20	ACB	African Caribbean in Barbados	male	AFR
HG01896	BB07	ACB	African Caribbean in Barbados	female	AFR
HG02476	BB51	ACB	African Caribbean in Barbados	female	AFR
HG02013	BB07	ACB	African Caribbean in Barbados	male	AFR
HG02332	BB16	ACB	African Caribbean in Barbados	male	AFR
HG02012	BB12	ACB	African Caribbean in Barbados	female	AFR
HG02557	BB68	ACB	African Caribbean in Barbados	male	AFR
HG02558	BB68	ACB	African Caribbean in Barbados	female	AFR
HG02477	BB52	ACB	African Caribbean in Barbados	female	AFR
HG02555	BB67	ACB	African Caribbean in Barbados	female	AFR
HG02481	BB54	ACB	African Caribbean in Barbados	male	AFR
HG02334	BB32	ACB	African Caribbean in Barbados	male	AFR
HG02455	BB48	ACB	African Caribbean in Barbados	male	AFR
HG01895	BB06	ACB	African Caribbean in Barbados	male	AFR
HG01916	BB09	ACB	African Caribbean in Barbados	female	AFR
HG02011	BB13	ACB	African Caribbean in Barbados	male	AFR
HG01960	BB11	ACB	African Caribbean in Barbados	female	AFR
HG02144	BB20	ACB	African Caribbean in Barbados	female	AFR
HG02143	BB20	ACB	African Caribbean in Barbados	male	AFR
HG02282	BB24	ACB	African Caribbean in Barbados	female	AFR
HG02284	BB26	ACB	African Caribbean in Barbados	male	AFR
HG02559	BB68	ACB	African Caribbean in Barbados	female	AFR
HG02325	BB30	ACB	African Caribbean in Barbados	female	AFR
HG02419	BB36	ACB	African Caribbean in Barbados	female	AFR
HG02420	BB37	ACB	African Caribbean in Barbados	male	AFR
HG02337	BB31	ACB	African Caribbean in Barbados	female	AFR
HG01912	BB06	ACB	African Caribbean in Barbados	male	AFR
HG01914	BB09	ACB	African Caribbean in Barbados	male	AFR
HG01915	BB09	ACB	African Caribbean in Barbados	female	AFR
