Sample	GeneA	GeneB	GeneC	GeneD	Group	GEO
1	6.04	3.748	4.563	6.04	A	GEO1
2	6.04	3.439	4.563	6.04	A	GEO1
3	3.31	3.439	3.971	3.31	A	GEO1
4	3.31	3.422	3.971	3.31	A	GEO1
5	3.31	3.422	3.946	6.04	A	GEO1
6	3.3	3.402	3.946	6.04	A	GEO1
7	3.3	3.402	3.797	3.31	A	GEO1
8	3.3	3.295	3.797	3.31	A	GEO1
9	2.82	3.295	3.748	3.31	A	GEO1
10	2.82	3.284	3.748	3.3	A	GEO1
11	4.563	3.284	3.439	3.3	A	GEO1
12	4.563	3.185	3.439	2.82	B	GEO1
13	3.971	3.185	3.422	2.82	B	GEO1
14	3.971	3.175	3.422	4.563	B	GEO1
15	3.946	3.175	3.402	4.563	B	GEO1
16	3.946	3.145	3.402	3.971	B	GEO1
17	3.797	3.145	3.295	3.971	B	GEO1
18	3.797	2.875	3.295	3.748	B	GEO1
19	3.748	2.875	3.284	3.439	B	GEO1
20	3.748	2.407	3.284	3.439	A	GEO1
21	3.439	2.407	3.185	3.422	A	GEO1
22	3.439	6.04	6.04	3.422	A	GEO1
23	3.422	6.04	6.04	3.402	A	GEO1
24	3.422	3.31	3.31	3.402	A	GEO1
25	3.402	3.31	3.31	3.295	A	GEO1
26	3.402	3.31	3.31	3.295	A	GEO1
27	3.295	3.3	3.3	3.284	A	GEO1
28	3.295	3.3	3.3	3.284	A	GEO1
29	3.284	3.3	3.3	3.185	A	GEO1
30	3.284	2.82	2.82	4.563	A	GEO1
31	3.185	2.82	2.82	4.563	B	GEO1
32	3.185	4.563	4.563	3.971	B	GEO1
33	3.175	4.563	4.563	3.971	B	GEO1
34	3.175	3.971	3.971	3.946	B	GEO1
35	3.145	3.971	3.971	3.946	B	GEO1
36	3.145	3.946	3.946	6.04	B	GEO1
37	2.875	3.946	3.946	6.04	B	GEO1
38	2.875	3.797	3.797	3.31	B	GEO1
39	2.407	3.797	3.797	3.31	B	GEO1
A40	2.407	3.748	3.748	3.31	B	GEO1
