Circular 	Gene
hsa_circ_0018046	ARMC4
hsa_circ_0039868	NUTF2
hsa_circ_0089160	NUP214
hsa_circ_0048972	ARHGEF18
hsa_circ_0018658	KIAA1274
hsa_circ_0067857	NMD3
hsa_circ_0019137	BTAF1
hsa_circ_0063162	FOXRED2
hsa_circ_0087609	C9orf102
hsa_circ_0006254	PDHX
hsa_circ_0089222	PRRC2B
hsa_circ_0027266	MARS
hsa_circ_0082617	KIAA1549
hsa_circ_0085648	NDRG1
hsa_circ_0035589	VPS13C
hsa_circ_0038716	IL4R
hsa_circ_0040034	CIRH1A
hsa_circ_0065709	MST1
hsa_circ_0067617	XRN1
hsa_circ_0014638	KIAA0907
hsa_circ_0019023	BMPR1A
hsa_circ_0040131	PDPR
hsa_circ_0069477	RPL9
hsa_circ_0043875	CNTNAP1
hsa_circ_0016485	EPRS
hsa_circ_0083703	DOCK5
hsa_circ_0057959	CCNYL1
hsa_circ_0050862	MAP4K1
hsa_circ_0065785	RBM6
hsa_circ_0000335	CPT1A
hsa_circ_0091771	PLXNB3
hsa_circ_0077559	SEC63
hsa_circ_0038287	SMG1
hsa_circ_0019389	C10orf28
hsa_circ_0046674	TYMS
hsa_circ_0030797	TPP2
hsa_circ_0012332	UQCRH
hsa_circ_0023199	LRP5
hsa_circ_0062407	P2RX6
hsa_circ_0051178	AXL
hsa_circ_0023538	C2CD3
hsa_circ_0052766	NBAS
hsa_circ_0035524	MYO1E
hsa_circ_0064030	SUMF1
hsa_circ_0054195	MAP4K3
hsa_circ_0019605	MGEA5
hsa_circ_0003735	TMEM181
hsa_circ_0079337	USP42
hsa_circ_0047358	TRAPPC8
hsa_circ_0076905	PRIM2
hsa_circ_0012239	AKR1A1
hsa_circ_0037318	CRAMP1L
hsa_circ_0082088	WASL
hsa_circ_0047850	PIGN
hsa_circ_0003544	RAPGEF6
hsa_circ_0071506	C4orf41
hsa_circ_0001859	TCONS_l2_00028722
hsa_circ_0017733	DHTKD1
hsa_circ_0012188	EIF2B3
hsa_circ_0017509	PITRM1
hsa_circ_0035121	SQRDL
hsa_circ_0031910	FRMD6
hsa_circ_0031582	ARHGAP5
hsa_circ_0077954	MAP7
hsa_circ_0070392	KLHL8
hsa_circ_0055030	ANTXR1
hsa_circ_0075621	SYCP2L
hsa_circ_0014464	SHC1
hsa_circ_0011786	MACF1
hsa_circ_0009161	SLC20A2
hsa_circ_0075775	TPMT
hsa_circ_0050621	RBM42
hsa_circ_0035294	TMOD3
hsa_circ_0065475	SLC26A6
hsa_circ_0044926	USP32
hsa_circ_0068766	RPL35A
hsa_circ_0036847	CRTC3
hsa_circ_0004878	DIAPH3
hsa_circ_0049546	FBXW9
hsa_circ_0081095	COL1A2
hsa_circ_0003661	ANKRD42
hsa_circ_0001018	CCT4
hsa_circ_0017052	TBCE
hsa_circ_0063185	KCTD17
hsa_circ_0051360	SMG9
hsa_circ_0021719	CD44
hsa_circ_0067415	TF
hsa_circ_0019178	EXOC6
hsa_circ_0023008	CCS
hsa_circ_0080542	LAT2
hsa_circ_0075900	HIST1H2BK
hsa_circ_0046862	RALBP1
hsa_circ_0079888	ELMO1
hsa_circ_0069354	ANAPC4
hsa_circ_0031073	RASA3
hsa_circ_0010283	UBR4
hsa_circ_0027190	LRP1
hsa_circ_0089597	EDF1
hsa_circ_0000726	ANKRD11
hsa_circ_0067353	ACPP
hsa_circ_0007641	FOXN2
hsa_circ_0077323	MDN1
hsa_circ_0019223	PLCE1
hsa_circ_0002650	GRB10
hsa_circ_0063106	MYH9
hsa_circ_0053493	BIRC6
hsa_circ_0062502	None
hsa_circ_0042254	COPS3
hsa_circ_0085162	PABPC1
