name	symbol
piR-hsa-18438	WASH7P
piR-hsa-20118	LOC729737
piR-hsa-5317	LOC729737
piR-hsa-5316	LOC729737
piR-hsa-5315	LOC729737
piR-hsa-5841	LOC729737
piR-hsa-6218	LOC729737
piR-hsa-4980	LOC729737
piR-hsa-3463	LOC729737
piR-hsa-7639	LOC729737
piR-hsa-15294	LOC729737
piR-hsa-15293	LOC729737
piR-hsa-6658	LOC729737
piR-hsa-4740	LOC729737
piR-hsa-4739	LOC729737
piR-hsa-12969	LOC729737
piR-hsa-8390	LOC729737
piR-hsa-14935	LOC729737
piR-hsa-14934	LOC729737
piR-hsa-10279	LOC729737
piR-hsa-32786	LOC729737
piR-hsa-19749	LOC729737
piR-hsa-27199	LOC729737
piR-hsa-3112	LOC729737
piR-hsa-7798	LOC729737
piR-hsa-14843	LOC729737
piR-hsa-25968	LOC729737
piR-hsa-5324	LOC729737
piR-hsa-3375	LOC729737
piR-hsa-29996	LOC729737
piR-hsa-5170	LOC729737
piR-hsa-4580	LOC729737
piR-hsa-15248	LOC729737
piR-hsa-30787	LOC729737
piR-hsa-25347	LOC729737
piR-hsa-29013	LOC729737
piR-hsa-25347	LOC100132287
piR-hsa-32799	LOC100132287
piR-hsa-22685	LOC100132287
piR-hsa-30102	LOC100132287
piR-hsa-30101	LOC100132287
piR-hsa-30100	LOC100132287
piR-hsa-32396	LOC100132287
piR-hsa-26514	LOC100132287
piR-hsa-27510	LOC100132287
piR-hsa-30787	LOC100132287
piR-hsa-15248	LOC100132287
piR-hsa-4580	LOC100132287
piR-hsa-5170	LOC100132287
piR-hsa-29996	LOC100132287
piR-hsa-3375	LOC100132287
piR-hsa-3263	LOC100132287
piR-hsa-5324	LOC100132287
piR-hsa-25968	LOC100132287
piR-hsa-14843	LOC100132287
piR-hsa-27199	LOC100132287
piR-hsa-19749	LOC100132287
piR-hsa-10279	LOC100132287
piR-hsa-32786	LOC100132287
piR-hsa-14934	LOC100132287
piR-hsa-14935	LOC100132287
piR-hsa-8390	LOC100132287
piR-hsa-12969	LOC100132287
piR-hsa-4740	LOC100132287
piR-hsa-4739	LOC100132287
piR-hsa-20641	LOC100132287
piR-hsa-6658	LOC100132287
piR-hsa-15293	LOC100132287
piR-hsa-15294	LOC100132287
piR-hsa-7639	LOC100132287
piR-hsa-3463	LOC100132287
piR-hsa-4980	LOC100132287
piR-hsa-6218	LOC100132287
piR-hsa-5841	LOC100132287
piR-hsa-5316	LOC100132287
piR-hsa-5315	LOC100132287
piR-hsa-5317	LOC100132287
piR-hsa-20118	LOC100132287
piR-hsa-25347	LOC100132062
piR-hsa-32799	LOC100132062
piR-hsa-22685	LOC100132062
piR-hsa-30102	LOC100132062
piR-hsa-30101	LOC100132062
piR-hsa-30100	LOC100132062
piR-hsa-32396	LOC100132062
piR-hsa-26514	LOC100132062
piR-hsa-27510	LOC100132062
piR-hsa-30787	LOC100132062
piR-hsa-15248	LOC100132062
piR-hsa-4580	LOC100132062
piR-hsa-5170	LOC100132062
piR-hsa-29996	LOC100132062
piR-hsa-3375	LOC100132062
piR-hsa-3263	LOC100132062
piR-hsa-5324	LOC100132062
piR-hsa-25968	LOC100132062
piR-hsa-14843	LOC100132062
piR-hsa-27199	LOC100132062
piR-hsa-19749	LOC100132062
piR-hsa-10279	LOC100132062
piR-hsa-32786	LOC100132062
piR-hsa-14934	LOC100132062
piR-hsa-14935	LOC100132062
piR-hsa-8390	LOC100132062
piR-hsa-12969	LOC100132062
piR-hsa-4740	LOC100132062
piR-hsa-4739	LOC100132062
piR-hsa-20641	LOC100132062
piR-hsa-6658	LOC100132062
piR-hsa-15293	LOC100132062
piR-hsa-15294	LOC100132062
piR-hsa-7639	LOC100132062
piR-hsa-3463	LOC100132062
piR-hsa-4980	LOC100132062
piR-hsa-6218	LOC100132062
piR-hsa-5841	LOC100132062
piR-hsa-5316	LOC100132062
piR-hsa-5315	LOC100132062
piR-hsa-5317	LOC100132062
piR-hsa-20118	LOC100132062
piR-hsa-25347	LOC100133331
piR-hsa-32799	LOC100133331
piR-hsa-22685	LOC100133331
piR-hsa-30102	LOC100133331
piR-hsa-30101	LOC100133331
piR-hsa-30100	LOC100133331
piR-hsa-32396	LOC100133331
piR-hsa-26514	LOC100133331
piR-hsa-27510	LOC100133331
piR-hsa-30787	LOC100133331
piR-hsa-15248	LOC100133331
piR-hsa-4580	LOC100133331
piR-hsa-5170	LOC100133331
piR-hsa-29996	LOC100133331
piR-hsa-3375	LOC100133331
piR-hsa-3263	LOC100133331
piR-hsa-5324	LOC100133331
piR-hsa-25968	LOC100133331
piR-hsa-14843	LOC100133331
piR-hsa-27199	LOC100133331
piR-hsa-19749	LOC100133331
piR-hsa-10279	LOC100133331
piR-hsa-32786	LOC100133331
piR-hsa-14934	LOC100133331
piR-hsa-14935	LOC100133331
piR-hsa-8390	LOC100133331
piR-hsa-12969	LOC100133331
piR-hsa-4740	LOC100133331
piR-hsa-4739	LOC100133331
piR-hsa-20641	LOC100133331
piR-hsa-6658	LOC100133331
piR-hsa-15293	LOC100133331
piR-hsa-15294	LOC100133331
piR-hsa-7639	LOC100133331
piR-hsa-3463	LOC100133331
piR-hsa-4980	LOC100133331
piR-hsa-6218	LOC100133331
piR-hsa-5841	LOC100133331
piR-hsa-5316	LOC100133331
piR-hsa-5315	LOC100133331
piR-hsa-5317	LOC100133331
piR-hsa-20118	LOC100133331
piR-hsa-9296	LOC100133331
piR-hsa-3112	LOC100133331
piR-hsa-7798	LOC100133331
piR-hsa-31853	LOC100133331
piR-hsa-2727	LOC100133331
piR-hsa-20852	LOC100288069
piR-hsa-7534	LOC100288069
piR-hsa-24375	LOC100288069
piR-hsa-9671	ISG15
piR-hsa-26128	AGRN
piR-hsa-19446	GLTPD1
piR-hsa-12039	GLTPD1
piR-hsa-22415	ATAD3C
piR-hsa-18657	ATAD3C
piR-hsa-26501	SLC35E2B
piR-hsa-32059	SLC35E2
piR-hsa-23387	SLC35E2
piR-hsa-6498	NADK
piR-hsa-6498	NADK
piR-hsa-6498	NADK
piR-hsa-6498	NADK
piR-hsa-27032	KIAA1751
piR-hsa-27530	KIAA1751
piR-hsa-18232	GABRD
piR-hsa-7864	PRKCZ
piR-hsa-7864	PRKCZ
piR-hsa-7864	PRKCZ
piR-hsa-7864	PRKCZ
piR-hsa-23387	C1orf86
piR-hsa-21000	C1orf86
piR-hsa-22415	C1orf86
piR-hsa-286	SKI
piR-hsa-12194	LOC100129534
piR-hsa-31924	LOC100129534
piR-hsa-4562	RER1
piR-hsa-12705	RER1
piR-hsa-23387	LOC115110
piR-hsa-23387	TP73-AS1
piR-hsa-13641	TP73-AS1
piR-hsa-23387	TP73-AS1
piR-hsa-13641	TP73-AS1
piR-hsa-23387	TP73-AS1
piR-hsa-13641	TP73-AS1
piR-hsa-23387	TP73-AS1
piR-hsa-13641	TP73-AS1
piR-hsa-23387	TP73-AS1
piR-hsa-13641	TP73-AS1
piR-hsa-23387	LRRC47
piR-hsa-30937	LRRC47
piR-hsa-16127	LRRC47
piR-hsa-28244	CEP104
piR-hsa-32653	CEP104
piR-hsa-21000	CEP104
piR-hsa-23387	CEP104
piR-hsa-15406	C1orf174
piR-hsa-31383	C1orf174
piR-hsa-21000	LOC100133612
piR-hsa-23387	LOC100133612
piR-hsa-4819	KCNAB2
piR-hsa-4819	KCNAB2
piR-hsa-4819	KCNAB2
piR-hsa-4819	KCNAB2
piR-hsa-4819	KCNAB2
piR-hsa-4819	KCNAB2
piR-hsa-23387	ICMT
piR-hsa-21000	ICMT
piR-hsa-15406	ICMT
piR-hsa-20283	HES2
piR-hsa-20282	HES2
piR-hsa-20281	HES2
piR-hsa-32653	HES2
piR-hsa-23387	HES2
piR-hsa-23387	NOL9
piR-hsa-20572	NOL9
piR-hsa-30715	NOL9
piR-hsa-5299	NOL9
piR-hsa-22487	TAS1R1
piR-hsa-22487	TAS1R1
piR-hsa-27501	KLHL21
piR-hsa-18792	KLHL21
piR-hsa-16261	KLHL21
piR-hsa-30730	PHF13
piR-hsa-4725	PHF13
piR-hsa-2714	PHF13
piR-hsa-25773	PHF13
piR-hsa-11390	PHF13
piR-hsa-12627	PHF13
piR-hsa-5230	PHF13
piR-hsa-19080	PHF13
piR-hsa-23387	TNFRSF9
piR-hsa-20273	TNFRSF9
piR-hsa-18321	PARK7
piR-hsa-18322	PARK7
piR-hsa-15726	PARK7
piR-hsa-18321	PARK7
piR-hsa-18322	PARK7
piR-hsa-15726	PARK7
piR-hsa-560	RERE
piR-hsa-560	RERE
piR-hsa-560	RERE
piR-hsa-6996	GPR157
piR-hsa-4054	H6PD
piR-hsa-22182	H6PD
piR-hsa-24303	H6PD
piR-hsa-23387	H6PD
piR-hsa-28244	H6PD
piR-hsa-20281	H6PD
piR-hsa-20282	H6PD
piR-hsa-32653	H6PD
piR-hsa-20283	H6PD
piR-hsa-28244	PIK3CD
piR-hsa-20283	PIK3CD
piR-hsa-32653	PIK3CD
piR-hsa-20282	PIK3CD
piR-hsa-20281	PIK3CD
piR-hsa-23387	NMNAT1
piR-hsa-30937	NMNAT1
piR-hsa-8360	KIF1B
piR-hsa-27095	KIF1B
piR-hsa-16268	KIF1B
piR-hsa-21505	KIF1B
piR-hsa-15617	KIF1B
piR-hsa-30937	KIF1B
piR-hsa-13410	KIF1B
piR-hsa-22415	DFFA
piR-hsa-12399	DFFA
piR-hsa-21000	DFFA
piR-hsa-22415	DFFA
piR-hsa-12399	DFFA
piR-hsa-21000	DFFA
piR-hsa-23387	DFFA
piR-hsa-28244	DFFA
piR-hsa-32653	DFFA
piR-hsa-20282	DFFA
piR-hsa-20281	DFFA
piR-hsa-20283	DFFA
piR-hsa-10349	TARDBP
piR-hsa-15404	UBIAD1
piR-hsa-15405	UBIAD1
piR-hsa-2830	UBIAD1
piR-hsa-12743	MAD2L2
piR-hsa-12743	MAD2L2
piR-hsa-25155	MTHFR
piR-hsa-28108	CLCN6
piR-hsa-28108	CLCN6
piR-hsa-28108	CLCN6
piR-hsa-28108	NPPA-AS1
piR-hsa-21000	PDPN
piR-hsa-21000	PDPN
piR-hsa-21000	PDPN
piR-hsa-21000	PDPN
piR-hsa-15092	DNAJC16
piR-hsa-12363	DNAJC16
piR-hsa-31333	DNAJC16
piR-hsa-28385	PLEKHM2
piR-hsa-9627	PLEKHM2
piR-hsa-15404	SLC25A34
piR-hsa-1748	FBLIM1
piR-hsa-15404	FBLIM1
piR-hsa-23387	FBLIM1
piR-hsa-21000	FBLIM1
piR-hsa-12399	FBLIM1
piR-hsa-1748	FBLIM1
piR-hsa-15404	FBLIM1
piR-hsa-5299	FLJ37453
piR-hsa-16220	SPEN
piR-hsa-26424	FBXO42
piR-hsa-25303	SZRD1
piR-hsa-18773	SZRD1
piR-hsa-25303	SZRD1
piR-hsa-18773	SZRD1
piR-hsa-25303	SZRD1
piR-hsa-18773	SZRD1
piR-hsa-25303	SZRD1
piR-hsa-18773	SZRD1
piR-hsa-25303	SZRD1
piR-hsa-18773	SZRD1
piR-hsa-25303	SZRD1
piR-hsa-18773	SZRD1
piR-hsa-17850	NECAP2
piR-hsa-16535	NECAP2
piR-hsa-17850	NECAP2
piR-hsa-16535	NECAP2
piR-hsa-17850	NECAP2
piR-hsa-16535	NECAP2
piR-hsa-18772	CROCCP3
piR-hsa-13508	CROCCP3
piR-hsa-7102	CROCCP3
piR-hsa-20282	CROCCP3
piR-hsa-20281	CROCCP3
piR-hsa-32653	CROCCP3
piR-hsa-28244	CROCCP3
piR-hsa-9059	CROCCP3
piR-hsa-15942	NBPF1
piR-hsa-32038	NBPF1
piR-hsa-8757	NBPF1
